"pay_sat_cat","n","mean_js","mean_js_low","mean_js_upp"
"Very satisfied",1334,4.42979868076345,4.36703729372984,4.49256006779705
"Satisfied",7483,3.89340470264989,3.86824202261305,3.91856738268674
"Neither",5201,3.59059047547302,3.56018720294751,3.62099374799853
"Dissatisfied",5279,3.42690184467836,3.39827263376818,3.45553105558854
"Very dissatisfied",2378,2.96145185089314,2.91161262051385,3.01129108127243
