"flexitime","n","mean_js","mean_js_low","mean_js_upp"
"Uses flexi-time",6010,3.68239524638699,3.64196541086086,3.72282508191312
"Available, not used",2103,3.89484753527836,3.84153045933595,3.94816461122078
"Not available",11347,3.56717316967209,3.53931283631496,3.59503350302921
