"job_sharing","n","mean_js","mean_js_low","mean_js_upp"
"Uses job sharing",885,3.78819269015202,3.7268288705987,3.84955650970533
"Available, not used",2573,3.81136810940792,3.7581674308871,3.86456878792873
"Not available",14580,3.5976799910352,3.57307251563131,3.62228746643908
