"training","n","mean_js","mean_js_low","mean_js_upp"
"No training",6383,3.45812341751481,3.42037559734503,3.49587123768458
"Less than 1 day",2673,3.51870317375984,3.47472312676042,3.56268322075926
"1 to 2 days",3737,3.65877913760435,3.62165606099925,3.69590221420945
"3 to 5 days",5108,3.78036613590688,3.7515851867027,3.80914708511106
"6 to 9 days",2273,3.85084763995448,3.80357646618165,3.8981188137273
"10 or more days",1447,4.00355761935682,3.95299769719973,4.05411754151392
