"extra_pay","n","mean_js","mean_js_low","mean_js_upp"
"No extra hours pay",14271,3.67058083396556,3.64707921575392,3.69408245217719
"Has extra hours pay",6759,3.59811118990519,3.56045149026577,3.63577088954461
